              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE
          VINYLINDIA,        1.08,        5.49
          AKSHOPTFBR,        1.06,        7.42
           AMTEKAUTO,        1.06,       -4.70
          KIRLOSBROS,        1.06,       13.69
           SHILPAMED,        1.06,       13.61
                IRFC,        1.05,        2.32
          CUMMINSIND,        1.04,        6.71
                 CCL,        1.03,        5.25
             LAOPALA,        1.02,        0.74
             GSKCONS,        1.01,       -1.84
          KOKUYOCMLN,        1.01,       -1.64
          LAURUSLABS,        1.01,        1.43
          GANESHHOUC,        1.00,       34.97
                 NTL,        1.00,      -12.17
             ESCORTS,        0.98,        4.73
           LICHSGFIN,        0.98,        7.38
            SMLISUZU,        0.98,        7.28
             STINDIA,        0.98,        1.31
            VESUVIUS,        0.97,       -0.79
          OPTOCIRCUI,        0.96,        9.95
          WALCHANNAG,        0.96,        6.13
                 DCM,        0.95,       11.80
                GATI,        0.92,       -2.84
               CREST,        0.91,        7.80
                GAEL,        0.91,       17.77
             POLARIS,        0.91,       25.77
              CONCOR,        0.90,       -4.10
                 NFL,        0.90,       12.63
          SHREEPUSHK,        0.90,        9.63
                 VHL,        0.90,       -0.29
            KAMDHENU,        0.89,        9.89
            MADHUCON,        0.89,       44.96
          ADVANIHOTR,        0.88,       12.42
                RMCL,        0.88,        0.73
              ASTRAL,        0.87,        2.05
            PITTILAM,        0.87,        3.06
                 PSB,        0.87,        7.91
               HUDCO,        0.86,        1.30
            LOTUSEYE,        0.86,        3.55
                NMDC,        0.86,       -4.69
            ZEELEARN,        0.86,       -4.88
               ORTEL,        0.84,        1.79
             FIEMIND,        0.83,       21.05
           TATAELXSI,        0.82,        2.62
           ESSELPACK,        0.81,       -1.13
             SNOWMAN,        0.81,       -4.16
           LUMAXTECH,        0.80,       10.47
          TOKYOPLAST,        0.80,       22.80
          JPASSOCIAT,        0.79,       -4.49
           BGRENERGY,        0.78,       23.41
             PAGEIND,        0.78,       -5.61
                PGIL,        0.78,        4.66
            RAMCOSYS,        0.78,       18.06
           INVENTURE,        0.77,        1.95
            RELIANCE,        0.77,       10.15
          ANDHRABANK,        0.76,        8.79
           RELDIVOPP,        0.76,        0.00
              CIMMCO,        0.75,       17.56
                SSWL,        0.75,       23.97
           THEMISMED,        0.75,        0.76
           ENDURANCE,        0.74,       11.97
           MANPASAND,        0.74,       -0.32
                 HCG,        0.73,       24.56
           ORICONENT,        0.73,       18.36
             EHFLNCD,        0.70,       -3.18
             INDIANB,        0.70,       -0.42
             PENPEBS,        0.70,       12.90
             SIMPLEX,        0.70,       13.29
             GULPOLY,        0.69,       12.33
          ORIENTBANK,        0.69,       12.50
          VADILALIND,        0.69,        8.36
                 OCL,        0.68,        9.99
           NESTLEIND,        0.66,        0.24
            POLYPLEX,        0.66,       19.44
             SITINET,        0.66,        0.80
             ASSAMCO,        0.65,       -4.29
             HAVELLS,        0.65,        8.18
              FORTIS,        0.64,       15.54
            GILLETTE,        0.64,        1.34
          MIDCAPIWIN,        0.64,        6.02
           SHYAMCENT,        0.64,       -2.47
          WABCOINDIA,        0.63,       13.35
          PONNIERODE,        0.62,       -2.11
               SPLIL,        0.62,       -0.21
