              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE          CYBERMEDIA,        9.94,       11.24
             RKFORGE,        2.17,        2.11
              JBFIND,        2.16,        8.64
                 CUB,        2.15,        5.45
             ISMTLTD,        2.14,       17.62
                SSWL,        2.13,       23.53
             PENPEBS,        2.12,       16.16
          WILLAMAGOR,        2.12,        5.80
                CCCL,        2.11,       34.72
             GABRIEL,        2.11,        1.61
                KPIT,        2.10,       -0.49
                NHPC,        2.09,        3.58
             UJJIVAN,        2.09,       -4.47
                BEML,        2.08,        6.07
          JMTAUTOLTD,        2.05,      -13.48
           KCPSUGIND,        2.05,        3.60
            BAGFILMS,        2.04,       12.36
            MBLINFRA,        2.04,      -12.37
           ORIENTPPR,        2.04,       17.59
           BGRENERGY,        2.03,       23.35
          JBCHEPHARM,        2.01,       -1.68
          BFUTILITIE,        2.00,        2.45
             DISHMAN,        2.00,       41.11
           JINDALSAW,        2.00,        0.31
                KTIL,        2.00,       11.42
           PUNJLLOYD,        2.00,       14.43
                HOCL,       19.61,       35.28
            NAGAROIL,       19.57,       19.57
            GEINDSYS,       19.48,       58.62
          PANORAMUNI,       18.92,       29.41
          EASUNREYRL,       17.95,       21.45
          HITECHPLAS,       17.09,       34.90
            PNCINFRA,       16.87,       37.50
             SPCENET,       16.67,       -6.67
              RADICO,       16.60,        2.05
            VIPULLTD,       16.29,       32.45
            SIMBHALS,       16.10,       22.83
               SUNTV,       16.09,       22.97
              JKTYRE,       15.99,       19.13
              HITECH,       15.88,        6.15
            GMRINFRA,       15.87,       10.94
            USHAMART,       15.75,       22.50
           SANGAMIND,       15.66,       21.75
           ALPSINDUS,       15.49,       24.24
                 DLF,       15.47,       28.31
           BLKASHYAP,       15.34,       40.44
          PIONEEREMB,       15.29,       22.20
           BAYERCROP,       15.12,       14.04
          SANGHVIMOV,       15.10,        8.01
           BHUSANSTL,       14.93,       28.84
           PRIMESECU,       14.81,       44.78
                GSPL,       14.68,       25.83
           ORIENTCEM,       14.68,       30.69
             INTEGRA,       14.55,      -17.11
           BALPHARMA,       14.51,       16.65
                 DPL,       14.21,       23.35
           GINNIFILA,       14.19,       20.25
            ADFFOODS,       14.06,       31.96
          JAYNECOIND,       14.04,       18.18
          ALEMBICLTD,       13.89,       40.86
          ORIENTALTL,       13.79,        5.69
             TFCILTD,       13.79,       26.49
           MAWANASUG,       13.77,        5.05
          KHAITANLTD,       13.71,       51.79
          CREATIVEYE,       13.64,       44.93
              PRAENG,       13.64,       35.75
           TASTYBITE,       13.63,       15.04
          WEBELSOLAR,       13.61,       73.27
            A2ZINFRA,       13.56,        8.53
          MANGCHEFER,       13.56,       36.71
          DAMODARIND,       13.42,       17.70
           IBREALEST,       13.41,       87.13
          SHREYANIND,       13.36,       37.12
             DPSCLTD,       13.11,       10.49
               NOCIL,       13.11,       29.32
            ANANTRAJ,       12.89,       34.96
          KAMATHOTEL,       12.81,       40.39
          CHAMBLFERT,       12.80,       18.58
           LICNFNHGP,       12.73,        7.09
          BINDALAGRO,       12.68,       19.26
             ATLANTA,       12.65,       28.50
              HIRECT,       12.61,       24.40
             SHREYAS,       12.54,       22.77
          HIGHGROUND,       12.52,        4.81
            ALPHAGEO,       12.51,       19.60
           CMICABLES,       12.50,       31.84
            PRISMCEM,       12.41,       13.32
             INDBANK,       12.40,        6.04
            NAGAFERT,       12.28,       12.94
          CORDSCABLE,       12.26,       33.20
            BANSWRAS,       12.23,       34.01
          LAKSHVILAS,       12.21,       16.23
           HOTELEELA,       12.19,       40.06
          VINATIORGA,       12.13,       18.20
            MERCATOR,       12.09,       16.12
           NETWORK18,       12.08,       28.57
            SANWARIA,       12.06,       90.36
          JISLJALEQS,       11.97,       16.96
            LUMAXIND,       11.96,       11.84
              PINCON,       11.88,       14.53
           ARSSINFRA,       11.84,       16.75
             ALMONDZ,       11.68,       34.17
          SHALPAINTS,       11.61,       44.44
          MUKANDENGG,       11.53,        5.45
               GOKUL,       11.52,       -5.70
          REGENCERAM,       11.51,        7.64
          DHAMPURSUG,       11.43,        5.27
           DIGJAMLTD,       11.43,       38.05
            TIMESGTY,       11.42,       10.29
          SUPREMEINF,       11.32,        4.85
                 HCC,       11.27,       15.76
               ZYLOG,       11.24,        4.21
            MIRZAINT,       11.21,       17.29
           SOUTHBANK,       11.19,       22.72
            ANSALAPI,       11.11,       72.64
           RUBYMILLS,       11.09,       29.37
                 IVC,       11.07,       16.30
          ASTRAMICRO,       11.00,       11.38
          HINDDORROL,       11.00,       14.43
             BGLOBAL,       10.98,      -17.65
           REDINGTON,       10.98,       18.16
          PARRYSUGAR,       10.89,        5.12
              CYIENT,       10.84,       13.86
              GRASIM,       10.82,       11.51
            MOHITIND,       10.79,       23.72
             PRESSMN,       10.78,       20.75
               EMKAY,       10.75,       20.99
             INDIANB,       10.72,        8.36
                 DBL,       10.69,       24.59
                 SCI,       10.67,       18.74
